timestamp,oil_urals,gdp_quart,gdp_quart_growth,cpi,ppi,gdp_deflator,balance_trade,balance_trade_growth,usdrub,eurrub,brent,net_capital_export,gdp_annual,gdp_annual_growth,average_provision_of_build_contract,average_provision_of_build_contract_moscow,rts,micex,micex_rgbi_tr,micex_cbi_tr,deposits_value,deposits_growth,deposits_rate,mortgage_value,mortgage_growth,mortgage_rate,grp,grp_growth,income_per_cap,real_dispos_income_per_cap_growth,salary,salary_growth,fixed_basket,retail_trade_turnover,retail_trade_turnover_per_cap,retail_trade_turnover_growth,labor_force,unemployment,employment,invest_fixed_capital_per_cap,invest_fixed_assets,profitable_enterpr_share,unprofitable_enterpr_share,share_own_revenues,overdue_wages_per_cap,fin_res_per_cap,marriages_per_1000_cap,divorce_rate,construction_value,invest_fixed_assets_phys,pop_natural_increase,pop_migration,pop_total_inc,childbirth,mortality,housing_fund_sqm,lodging_sqm_per_cap,water_pipes_share,baths_share,sewerage_share,gas_share,hot_water_share,electric_stove_share,heating_share,old_house_share,average_life_exp,infant_mortarity_per_1000_cap,perinatal_mort_per_1000_cap,incidence_population,rent_price_4+room_bus,rent_price_3room_bus,rent_price_2room_bus,rent_price_1room_bus,rent_price_3room_eco,rent_price_2room_eco,rent_price_1room_eco,load_of_teachers_preschool_per_teacher,child_on_acc_pre_school,load_of_teachers_school_per_teacher,students_state_oneshift,modern_education_share,old_education_build_share,provision_doctors,provision_nurse,load_on_doctors,power_clinics,hospital_beds_available_per_cap,hospital_bed_occupancy_per_year,provision_retail_space_sqm,provision_retail_space_modern_sqm,turnover_catering_per_cap,theaters_viewers_per_1000_cap,seats_theather_rfmin_per_100000_cap,museum_visitis_per_100_cap,bandwidth_sports,population_reg_sports_share,students_reg_sports_share,apartment_build,apartment_fund_sqm
1/1/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,32.855,45.4602,110.8,0.13058092,71016.7,0.012794871,5.98,6.3,1442.73,1504.08,133.27,243.91,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/2/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.0887,45.234,107.78,0.13058092,71016.7,0.012794871,5.98,6.3,1442.73,1504.08,133.27,243.91,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/3/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.1969,45.1629,106.89,0.13058092,71016.7,0.012794871,5.98,6.3,1442.73,1504.08,133.27,243.91,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/4/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.1969,45.1629,106.89,0.13058092,71016.7,0.012794871,5.98,6.3,1442.73,1504.08,133.27,244.07,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/5/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.1969,45.1629,106.89,0.13058092,71016.7,0.012794871,5.98,6.3,1442.73,1504.08,133.27,244.07,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/6/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.2337,45.3167,106.73,0.13058092,71016.7,0.012794871,5.98,6.3,1388.28,1466.15,133.25,244.07,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/7/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.1449,45.1337,107.35,0.13058092,71016.7,0.012794871,5.98,6.3,1388.28,1466.15,133.25,247.43,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/8/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.1982,45.1009,107.15,0.13058092,71016.7,0.012794871,5.98,6.3,1390.35,1462.67,133.28,247.58,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/9/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.2311,45.164,106.39,0.13058092,71016.7,0.012794871,5.98,6.3,1388.86,1465.14,133.02,248.43,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
1/10/2014,107.1991,19566.5,2.1,405.9,485.5,113.465,20.182,16.8,33.0562,45.1631,107.25,0.13058092,71016.7,0.012794871,5.98,6.3,1395.91,1469.19,132.91,248.98,16957531,0.042847662,5.3,1338731,0.315944112,12.12,12808.5734,0.08410365,40307,-0.079,61208,0.103141018,15608.27,4436.8984,365.089,102.4,7087.326,0.015,0.74,126874,1541.884366,0.646,0.354,0.977828439,57746,96.91260146,8.3,3.7,734697.6,100.1,1.6,5.7,7.3,11.3,9.7,234,19.1850455,98.8,98.6,98.1,43.3,94.3,55.2,99.3,0.4,76.7,6.1,7.61,662.3,198.42,107.62,78.97,58.75,47.04,41.44,33.49,NA,"16,765",1517.954545,85.5056,"93,08","25,47",61,92.8,7804.909725,41.9,707,286,NA,NA,10311,NA,0.44784,NA,398451,28.2,NA,46080,229294.8
